Card #,Card Name,Mana Cost,Type Line,Power/Toughness,Rarity,Color Identity,Rules Text,Flavor Text,Keywords,Mechanics Tags,Art Description,Art Direction,Synergy
224,True Power,{1}{B},Enchantment — Aura,,Uncommon,B,"Enchant Channeler creature. Enchanted creature gets +5/+0 and has menace. At the beginning of your upkeep, put a fade counter on True Power. Then if it has three or more fade counters, sacrifice it and the enchanted creature. It can't be regenerated.",Power beyond saidin and saidar — and a price beyond paying.,,"TruePower,Aura",Creature blazing with uncontrolled magical power,"Dangerous, volatile",True Power/Death
225,True Power's Bearer,{3}{B}{B},Legendary Creature — Forsaken Channeler,5/4,Mythic,B,"Menace. Auras you control have ""Enchanted creature has deathtouch."" Whenever an enchanted creature you control dies, each opponent loses 3 life and you draw a card.",The Great Lord's favor flows through Moridin's chosen.,,"TruePower,Forsaken",,,
226,True Power's Corruption,{2}{B}{B},Sorcery,,Rare,B,Destroy target creature. You gain life equal to that creature's toughness. Create a 1/1 black Shadowspawn token for each life gained.,The True Power consumes.,,"Removal,Gain Life,Token,Shadowspawn",,,
227,Unraveling Shadow,{1}{B},Instant,,Common,B,"Choose one — • Destroy target creature with power 2 or less. • Leash target creature with power 2 or less. (You gain control of it. At the beginning of your upkeep, pay its leash cost — {2}, doubling each time you pay — or it returns to its owner and can't be leashed again until your next turn.)",The Shadow unravels all bonds.,,"Leash,Removal",,,
228,Void of Night,{2}{B},Enchantment,,Common,B,"Whenever you cast a black spell, all creatures get -1/-0 until end of turn.",The void consumes all.,,"Synergy,Weaken",,,
229,Void Touched,{1}{B},Creature — Shadowspawn,2/2,Uncommon,B,All black creatures get +1/-0. {B}: Void Touched gets +1/+0 until end of turn.,Touched by the void.,,"Shadowspawn,Synergy,Pump",,,
230,Web of Shadow,{1}{B},Enchantment,,Rare,B,"Whenever a creature enters under your control, create a 1/1 black Shadowspawn token. {B}{B}{B}: Create a 3/3 black Shadowspawn.",The Shadow's web grows.,,"Shadowspawn,Token,Synergy",,,
231,Worm of the Blight,{4}{B}{B},Creature — Wurm,6/4,Rare,B,Trample. Worm of the Blight can't block.,"In the Blight, even the Trollocs run from something.",Trample,Aggro,Worm of the Blight — Wurm from the Wheel of Time,"Painterly fantasy, dramatic light",Aggro
232,Aiel Ascendant,{2}{R},Sorcery,,Uncommon,R,"Create three 1/1 red Aiel Warrior tokens with haste. If you control an Aiel, put a +1/+1 counter on each.",The Aiel answer the call.,,"Aiel,Token,Haste,Synergy",,,
233,Aiel Maiden of the Spear,{1}{R},Creature — Aiel Warrior,2/1,Common,R,First strike.,Far Dareis Mai carries the honor of the spear.,First strike,Aiel,Aiel Maiden of the Spear — Aiel Warrior from the Wheel of Time,"Painterly fantasy, dramatic light",Aiel
234,Aiel Spear,{1}{R},Creature — Aiel Warrior,2/2,Uncommon,R,"Haste. Whenever Aiel Spear attacks, put a +1/+1 counter on target other creature.",The spear is the highest calling.,Haste,"Aiel,Synergy",,,
235,Aiel Spear Fighter,{R},Creature — Aiel Warrior,2/1,Common,R,Haste. {R}: Aiel Spear Fighter gets +1/+0 until end of turn.,The spear is life.,,Aggro,Lean Aiel warrior with distinctive spear,"Swift, deadly",Aggro/Red
236,Asha'man Ascendant,{1}{R},Creature — Human Asha'man,3/2,Rare,R,"Whenever you cast a red spell, Asha'man gets +1/+0 until end of turn. {R}{R}{R}: Create a 2/2 red Dragon token.",The mad with power rise.,,"Asha'man,Male,Synergy,Dragon",,,
237,Asha'man Dedicated,{1}{R},Creature — Human Asha'man Channeler,2/1,Common,R,"When Asha'man Dedicated enters, weave.","The sword and the dragon, earned in the Black Tower.",,"Weaving,Channeler",Asha'man Dedicated — Human Asha'man Channeler from the Wheel of Time,"Painterly fantasy, dramatic light",Weaving
238,Asha'man Mage,{1}{R},Creature — Human Asha'man,2/2,Uncommon,R,{R}: Asha'man Mage deals 1 damage to target creature or player. Create a 1/1 red Dragon token.,The mad with power.,,"Asha'man,Male,Burn,Dragon",,,
239,Asha'man Recruit,{R},Creature — Human Asha'man,2/1,Common,R,"{R}: Asha'man Recruit gets +1/+0 until end of turn. Whenever you cast a spell, Asha'man gets +0/+1 until end of turn.",Black Tower teaches power above all.,,"Asha'man,Male,Synergy",,,
240,Asha'man Soldier,{2}{R},Creature — Human Asha'man Channeler,2/2,Common,R,"Whenever you weave, Asha'man Soldier gets +1/+0 until end of turn.",,,"Weaving,Channeler",Asha'man Soldier — Human Asha'man Channeler from the Wheel of Time,"Painterly fantasy, dramatic light",Weaving
241,Asha'man Storm-Caller,{2}{R}{R},Creature — Human Asha'man Channeler,3/3,Rare,R,"Whenever you weave, Asha'man Storm-Caller deals 1 damage to each opponent.",,,"Weaving,Channeler,Burn",Asha'man Storm-Caller — Human Asha'man Channeler from the Wheel of Time,"Painterly fantasy, dramatic light",Weaving
242,Asha'man Warlock,{2}{R},Creature — Human Asha'man,2/2,Uncommon,R,"Whenever you cast a red spell, Asha'man Warlock deals 1 damage to any target. Whenever Asha'man Warlock deals damage, you may draw a card.",The taint made them mad with power.,,"Asha'man,Male,Burn,Draw",Man burning with red channeled power,"Intense, dangerous",Asha'man/Burn
243,Balefire,{2}{R}{R},Sorcery,,Uncommon,R,Exile target creature or planeswalker.,"A bar of white light, and a thread burned from the Pattern.",,"Balefire,Removal",Reality unraveling before magical fire,"Destructive, reality-breaking",Removal/Exile
244,Balefire Thread,{1}{R},Instant,,Common,R,"Balefire Thread deals 3 damage to target creature. If that creature would die this turn, exile it instead.",The smallest thread of the forbidden weave still burns backward.,,"Balefire,Removal",Balefire Thread — Instant from the Wheel of Time,"Painterly fantasy, dramatic light",Balefire
245,Balefire Unleashed,{4}{R}{R},Sorcery,,Rare,R,Exile target creature or planeswalker. Return each other permanent that entered the battlefield this turn to its owner's hand. (The thread burns backward.),,,"Balefire,Removal",Balefire Unleashed — Sorcery from the Wheel of Time,"Painterly fantasy, dramatic light",Balefire
246,Battle Fury,{1}{R},Enchantment — Aura,,Uncommon,R,Enchant creature. Enchanted creature gets +2/+1 and '{R}: This creature gets +1/+0 until end of turn.',The warrior's passion unleashed.,,"Aura,Synergy",,,
247,Black Tower Trainee,{R},Creature — Human Asha'man Channeler,1/1,Common,R,"{1}{R}, {T}: Weave. Activate only as a sorcery.",,,"Weaving,Channeler",Black Tower Trainee — Human Asha'man Channeler from the Wheel of Time,"Painterly fantasy, dramatic light",Weaving
248,Blossoms of Fire,{2}{R}{R},Instant,,Rare,R,"Blossoms of Fire deals 4 damage divided as you choose among one, two, three, or four targets.",,,Removal,Blossoms of Fire — Instant from the Wheel of Time,"Painterly fantasy, dramatic light",Removal
249,Burn Away,{1}{R},Instant,,Common,R,Burn Away deals 2 damage to target creature or player.,Fire is the simplest form of power.,,Burn,Red flames consuming target,"Destructive, hot",Burn/Red
250,Burn the Pattern,{1}{R}{R},Sorcery,,Mythic,R,Destroy all creatures with toughness 4 or greater. You gain 3 life for each creature destroyed.,The Dragon breaks the Pattern.,,"Wipe,Gain Life",,,
251,Chaos Unleashed,{3}{R}{R},Sorcery,,Rare,R,All creatures you control gain double strike and haste until end of turn. Discard a card at the beginning of your end step.,Chaos is a weapon.,,"Double Strike,Haste,Synergy",,,
252,"Couladin, False Car'a'carn",{2}{R},Legendary Creature — Aiel Warrior,3/2,Uncommon,R,"Haste. Whenever Couladin attacks, other Aiel you control get +1/+0 until end of turn, and Couladin deals 1 damage to you.",The dragons on his arms were real. Nothing else about his claim was.,Haste,"Aiel,Combat","Couladin, False Car'a'carn — Aiel Warrior from the Wheel of Time","Painterly fantasy, dramatic light",Aiel
253,Darkspawn Corruption,{R},Creature — Shadowspawn,1/1,Common,R,"Haste, menace. Whenever Darkspawn Corruption attacks, it gets +1/+0 until end of turn.",The Shadow's reach spreads corruption.,,"Aggro,Menace","Twisted, menacing shadow creature with red aura","Aggressive, corrupted",Aggro/Red
254,Dragon Rider,{1}{R},Creature — Human Dragon Rider,3/1,Rare,R,"Haste. Whenever Dragon Rider attacks, create a 2/2 red Dragon token with flying that's tapped and attacking.",The Dragon calls to his riders.,Haste,"Dragon,Synergy,Token",,,
255,Dragon Wings,{2}{R},Enchantment — Aura,,Common,R,"Enchant creature. Enchanted creature has flying and gets +1/+1. Whenever enchanted creature attacks, it deals 1 damage to each opponent.",Dragon fire rises.,,"Aura,Haste",,,
256,Dragon's Command,{2}{R},Sorcery,,Uncommon,R,"Rand al'Thor, the Dragon Reborn deals 3 damage to target creature or player. Create a 1/1 red Dragon token.",The Dragon commands the elements.,,"Burn,Dragon,Token",,,
257,Dragon's Fire,{2}{R},Instant,,Common,R,Dragon's Fire deals 3 damage to target creature or player.,The power of dragons itself.,,Burn,,,
258,Dragonsworn Zealot,{1}{R},Creature — Human Warrior,2/1,Common,R,"When Dragonsworn Zealot dies, it deals 1 damage to any target.",,,Aggro,Dragonsworn Zealot — Human Warrior from the Wheel of Time,"Painterly fantasy, dramatic light",Aggro
259,Endless Assault,{1}{R},Enchantment,,Uncommon,R,"Whenever you cast a creature spell, all creatures get +1/+0 until end of turn. {R}{R}: Create a 1/1 red token with haste.",The assault never ends.,,"Synergy,Token,Haste",,,
260,Far Dareis Mai Scout,{R},Creature — Aiel Scout,1/2,Common,R,Haste.,,Haste,Aiel,Far Dareis Mai Scout — Aiel Scout from the Wheel of Time,"Painterly fantasy, dramatic light",Aiel
261,Forsaken Wrath,{2}{R},Enchantment,,Uncommon,R,"Whenever you cast a red spell, create a 1/1 red Elemental creature token with haste. Sacrifice those tokens at the beginning of your end step.",The Forsaken's fury consumes all.,,"Synergy,Token",,,
262,Haste Rune,{2}{R},Enchantment — Aura,,Common,R,Enchant creature. Enchanted creature has haste and gets +1/+0.,The warrior's fire burns hot.,,"Aura,Haste",Red magical rune giving speed and power,"Energetic, fast",Aura/Haste
263,Illuminator's Apprentice,{1}{R},Creature — Human Artificer,1/3,Uncommon,R,"{1}{R}, {T}: Illuminator's Apprentice deals 1 damage to any target.",Fireworks are a guild secret. So are the accidents.,,Removal,Illuminator's Apprentice — Human Artificer from the Wheel of Time,"Painterly fantasy, dramatic light",Removal
264,Lightning Weave,{2}{R},Instant,,Common,R,Lightning Weave deals 2 damage to any target. Weave.,,,"Weaving,Removal",Lightning Weave — Instant from the Wheel of Time,"Painterly fantasy, dramatic light",Weaving
265,"Logain Ablar, False Dragon",{2}{R},Legendary Creature — Human Asha'man,3/2,Uncommon,R,"Whenever Logain attacks, untap all red creatures you control. {R}{R}: Logain gets +1/+0 until end of turn.",His potential was greater than his madness.,,"Legendary,Male,Asha'man,Synergy","Man burning with channeled power, wild-eyed","Intense, untamed",Rare/Asha'man
266,Molten Assault,{1}{R},Sorcery,,Common,R,Molten Assault deals 2 damage to target creature or player. Create a 1/1 red Elemental token.,Fire spreads without mercy.,,"Burn,Token",,,
267,Molten Strike,{2}{R},Sorcery,,Common,R,Molten Strike deals 1 damage to each creature and each player.,Fire spreads without discrimination.,,"Burn,Wipe",Waves of red flames spreading,"Chaotic, destructive",Burn/Red
268,Passion Without Reason,{2}{R}{R},Sorcery,,Rare,R,"All creatures you control get +3/+1 until end of turn. Discard a card at the beginning of your end step. If you can't, create a 2/2 red Dragon token.",Passion is its own reward.,,"Pump,Dragon,Synergy",,,
269,Passion's Apex,{1}{R},Sorcery,,Rare,R,"Create a 4/4 red Creature token with haste. If you control another creature, that token gets +1/+1 and trample.",Raw passion made manifest.,,"Token,Haste,Trample,Synergy",,,
270,Passion's Flame,{2}{R}{R},Enchantment,,Rare,R,"Whenever you cast a red spell, all creatures you control get +1/+0 until end of turn and deal 1 damage to each opponent. {R}: Add {R}{R} to your mana pool this turn only.",Red's power knows no bounds.,,"Synergy,Drain,Ramp",,,
271,Passionate Strike,{1}{R},Instant,,Common,R,Target creature gets +2/+0 and first strike until end of turn.,Emotion becomes strength in battle.,,"Pump,First Strike",Creature blazing with red passion,"Aggressive, striking",Pump/Red
272,Raid and Pillage,{1}{R},Sorcery,,Common,R,Target opponent sacrifices a permanent. Raid and Pillage deals 1 damage to that player.,Passion for destruction unmakes civilization.,,"Sacrifice,Damage",Raiders destroying structures and looting,"Destructive, chaotic",Sacrifice/Damage
273,Raid Camp Scout,{1}{R},Creature — Human Soldier,2/1,Common,R,"Raid Camp Scout has haste. When it deals combat damage, you may discard a card. If you do, draw a card.",Scouts report back to camp with treasures.,,Haste,"Scout riding fast, dust trail behind","Swift, reactive",Haste/Red
274,Raid Leader,{1}{R},Creature — Human Soldier,2/1,Uncommon,R,Haste. Other creatures you control gain haste. {R}: Raid Leader gets +1/+0 until end of turn.,The warrior's call to arms.,Haste,"Soldier,Synergy,Haste",,,
275,Raid Party,{1}{R},Creature — Human Soldier,2/1,Common,R,"Haste. Whenever Raid Party attacks, create a 1/1 red Creature token with haste.",Raiding is a way of life.,Haste,"Soldier,Haste,Token,Synergy",,,
276,Raid the Homeland,{1}{R},Sorcery,,Uncommon,R,Create a 2/2 red Aiel Warrior token with haste. Each other creature you control gets +1/+0 until end of turn.,The Aiel sweep all before them.,,"Aiel,Token,Pump",,,
277,Reckless Assault,{2}{R},Sorcery,,Common,R,Creatures you control get +1/+0 until end of turn and must attack this turn if able.,The warrior's passion overwhelms caution.,,"Pump,Haste",Creatures surging forward in red-hot passion,"Aggressive, wild",Pump/Red
278,Reckless Passion,{1}{R},Instant,,Common,R,Target creature gets +2/+0 and gains haste until end of turn. Weave.,Passion gives strength without thought.,,"Weaving,Combat",,,
279,Red Ajah Fervor,{2}{R},Enchantment,,Common,R,"Whenever you cast a red spell, target creature gets +1/+0 until end of turn.",Red's power consumes and transforms.,,"Synergy,Pump",Red magical aura of power,"Passionate, intense",Synergy/Red
280,Red Ajah Fury,{2}{R}{R},Enchantment,,Uncommon,R,"Whenever you cast a red spell, all creatures you control get +1/+0 until end of turn. Whenever a creature you control deals combat damage, you may deal 1 damage to any target.",Red's power burns without mercy.,,"Synergy,Drain",,,
281,Red Ajah Passion,{2}{R},Enchantment,,Common,R,"Whenever you cast a red spell, Red Ajah Passion deals 1 damage to each opponent.",Red's power consumes.,,"Synergy,Drain",,,
282,Red Hand Bannerman,{1}{R},Creature — Human Soldier,2/2,Common,R,"Whenever Red Hand Bannerman attacks with another Soldier, it gets +1/+0 until end of turn.",,,"Soldier,Combat",Red Hand Bannerman — Human Soldier from the Wheel of Time,"Painterly fantasy, dramatic light",Soldier
283,Red's Passion,{1}{R},Instant,,Common,R,Target creature gets +3/+0 and first strike until end of turn.,Emotion becomes strength.,,"Pump,First Strike",,,
284,Redarm Veteran,{2}{R},Creature — Human Soldier,3/2,Common,R,,"The Band of the Red Hand: gamblers, brawlers, and the finest soldiers south of the Borderlands.",,Soldier,Redarm Veteran — Human Soldier from the Wheel of Time,"Painterly fantasy, dramatic light",Soldier
285,Saldaean Light Cavalry,{1}{R},Creature — Human Soldier,2/2,Common,R,Haste.,,Haste,Soldier,Saldaean Light Cavalry — Human Soldier from the Wheel of Time,"Painterly fantasy, dramatic light",Soldier
286,"Sammael, Lord of Illian",{2}{R}{R},Legendary Creature — Forsaken Channeler,4/4,Rare,R,"Haste, menace. Whenever a creature deals damage to Sammael, he deals that much damage to that creature's controller.",,"Haste, Menace","Forsaken,Combat","Sammael, Lord of Illian — Forsaken Channeler from the Wheel of Time","Painterly fantasy, dramatic light",Forsaken
287,Seize the Moment,{1}{R},Instant,,Uncommon,R,Target creature gets +3/+0 and first strike until end of turn.,Passion strikes without hesitation.,,"Pump,First Strike",,,
288,Shienaran Heavy Lancer,{3}{R},Creature — Human Knight,4/2,Common,R,First strike as long as Shienaran Heavy Lancer is attacking.,,,"Soldier,Combat",Shienaran Heavy Lancer — Human Knight from the Wheel of Time,"Painterly fantasy, dramatic light",Soldier
289,Stampeding Trolloc,{2}{R},Creature — Trolloc,3/2,Common,R,"Haste. When Stampeding Trolloc enters, another target creature gains haste until end of turn.",The hordes charge without mercy.,,"Token,Trolloc,Haste",,,
290,Stone Dog Vanguard,{2}{R},Creature — Aiel Warrior,3/2,Uncommon,R,Vigilance. Shae'en M'taal — Stone Dog Vanguard gets +0/+2 as long as it's blocking.,,Vigilance,Aiel,Stone Dog Vanguard — Aiel Warrior from the Wheel of Time,"Painterly fantasy, dramatic light",Aiel
291,"Talmanes Delovinde, of the Red Hand",{2}{R},Legendary Creature — Human Soldier,3/2,Uncommon,R,Soldiers you control have first strike.,Half of Mat's jokes he doesn't laugh at. The other half he answers with a straight face.,,"Soldier,Combat","Talmanes Delovinde, of the Red Hand — Human Soldier from the Wheel of Time","Painterly fantasy, dramatic light",Soldier
292,The Breaking of the World,{3}{R}{R},Enchantment — Saga,,Rare,R,"(As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.) I — The Breaking of the World deals 2 damage to each creature. II — Each player sacrifices a land. III — Create a 4/4 red Elemental creature token named Dragonmount.",The world was not the same after Lews Therin's grief.,,Saga,The Breaking of the World — Saga from the Wheel of Time,"Painterly fantasy, dramatic light",Saga
293,The Old Blood,{1}{R},Enchantment,,Uncommon,R,"Creatures you control have haste. Pattern 3 — Whenever a Soldier or Archer you control enters, it gets +1/+0 until end of turn. (Carai an Caldazar! The Old Blood wakes.)",,,"Weaving,Combat",The Old Blood — Enchantment from the Wheel of Time,"Painterly fantasy, dramatic light",Weaving
294,Tinker Wanderer,{1}{R},Creature — Human Tinker,1/2,Common,R,"{T}: Add {R}. If you've woven three or more times, add {R}{R} instead.",Passionate craftspeople who wander the land.,,Mana Dork,"Colorful cart with pots and pans, nomadic campfire","Vibrant, passionate",Mana Dork/Red
295,Tinker's Passion,{R},Creature — Human Tinker,1/1,Common,R,"Whenever you cast an instant or sorcery, Tinker's Passion deals 1 damage to any target.",Passionate about their craft and all things.,,Burn,Colorful tinker surrounded by sparks and pots,"Energetic, passionate",Burn/Red
296,True Dragon Fire,{3}{R}{R},Sorcery,,Mythic,R,"True Dragon Fire deals 5 damage to each of up to two targets. If a creature dealt damage this way would die this turn, exile it instead.",The Dragon's power remake the world.,,"Balefire,Removal",,,
297,Uno the Watcher,{2}{R},Legendary Creature — Human Soldier,3/1,Uncommon,R,"Haste, vigilance. Whenever Uno attacks, you may tap a creature an opponent controls. {R}{R}: Uno gets +1/+0 until end of turn.",The Band of the Red Hand rides eternal.,"Haste, Vigilance","Legendary,Band,Soldier",Lean warrior watching over companions,"Alert, brave",Rare/Band
298,Volatile Energy,{1}{R},Instant,,Common,R,"Volatile Energy deals 3 damage to target creature. If a creature is dealt damage this way, it becomes a 1/1 red Elementals with haste.",The raw power of the elements.,,"Burn,Token",Explosive red magical force,"Destructive, energetic",Burn/Token
299,War Chief,{1}{R},Creature — Human Warrior,3/2,Uncommon,R,"Whenever War Chief attacks, all other creatures get +1/+0 until end of turn. {R}: War Chief gets +1/+0 until end of turn.",The warrior's call rallies all.,,"Warrior,Synergy,Pump",,,
300,Wild Energy,{1}{R},Sorcery,,Common,R,Create a 2/1 red Elemental creature token with haste. Sacrifice it at the beginning of the next end step.,Raw magical force unleashed.,,"Token,Haste",,,
301,Wild Sprint,{1}{R},Instant,,Common,R,Target creature gets +2/+0 and haste until end of turn.,Passion unleashed.,,"Pump,Haste",,,
302,Wild Swing,{1}{R},Instant,,Common,R,Target creature gets +2/+0 until end of turn.,Passion gives strength in the moment.,,Pump,Creature surrounded by red energy,"Explosive, powerful",Pump/Red
303,Abundant Bounty,{2}{G},Sorcery,,Common,G,Search your library for two basic land cards and put them onto the battlefield tapped. Shuffle.,The wild's bounty sustains all.,,"Ramp,Tutor",Flourishing vegetation spreading across battlefield,"Fertile, abundant",Ramp/Tutor
304,Abundant Resources,{2}{G},Sorcery,,Uncommon,G,Search your library for a basic land and put it onto the battlefield tapped. Then search for another and put it into your hand. Shuffle.,Nature's bounty never ends.,,"Ramp,Tutor",,,
305,Aiel Herbalist,{1}{G},Creature — Aiel Wise One,2/2,Common,G,{G}: Aiel Herbalist gets +0/+1 until end of turn.,Wise Ones heal through nature's bounty.,,Defense,Aiel woman with healing herbs and plants around her,"Wise, natural",Defense/Green
306,Aiel Meditation,{1}{G},Instant,,Common,G,"Target creature gets +1/+2 until end of turn. If you control a Wise One, it also gains lifelink.",Spiritual focus.,,"Pump,Lifelink,Synergy",,,
307,Aiel Shaman,{1}{G},Creature — Aiel Wise One,2/2,Uncommon,G,"Whenever Aiel Shaman enters, create a 1/1 green Wolf token. {G}: Aiel gets +1/+1 until end of turn.",The desert teaches wisdom.,,"Aiel,Wise One,Female,Wolf,Token",,,
308,Aiel Stone Dog,{2}{G},Creature — Aiel Warrior,2/3,Common,G,Vigilance.,,Vigilance,Aiel,Aiel Stone Dog — Aiel Warrior from the Wheel of Time,"Painterly fantasy, dramatic light",Aiel
309,Aiel Warrior,{1}{G},Creature — Aiel Warrior,1/2,Common,G,"{T}: Add {G}. If you've woven three or more times, add {G}{G} instead.","Desert-born and tested, hardy as the land itself.",,Mana Dork,"Lean warrior in Aiel clothing, spear in hand, desert setting","Fierce, natural",Mana Dork/Green
310,Aiel Water Seeker,{G},Creature — Aiel Scout,1/1,Common,G,{T}: Add {G}. Activate only if you control another Aiel.,,,"Aiel,Ramp",Aiel Water Seeker — Aiel Scout from the Wheel of Time,"Painterly fantasy, dramatic light",Aiel
311,Aiel's Endurance,{1}{G},Instant,,Common,G,Target creature gets +1/+2 and trample until end of turn.,The desert hardens its children.,,"Pump,Trample",,,
312,"Bela, Steadfast Mare",{1}{G},Legendary Creature — Horse,1/3,Uncommon,G,"Bela has indestructible as long as you control another legendary creature. Whenever Bela attacks, another target attacking creature gets +0/+2 until end of turn.","From Emond's Field to the Last Battle, every step of the way.",Indestructible,Support,"Bela, Steadfast Mare — Horse from the Wheel of Time","Painterly fantasy, dramatic light",Support
313,Blight Ranger,{2}{G},Creature — Human Ranger,3/3,Uncommon,G,Reach. Blight Ranger gets +1/+1 as long as an opponent controls a black creature.,,Reach,Anathema,Blight Ranger — Human Ranger from the Wheel of Time,"Painterly fantasy, dramatic light",Anathema
314,Borderland Courser,{2}{G},Creature — Horse,3/3,Common,G,"Whenever Borderland Courser attacks, another target attacking creature gets +0/+1 until end of turn.",,,Support,Borderland Courser — Horse from the Wheel of Time,"Painterly fantasy, dramatic light",Support
315,Braem Wood Stag,{2}{G},Creature — Elk,3/3,Common,G,,,,Vanilla,Braem Wood Stag — Elk from the Wheel of Time,"Painterly fantasy, dramatic light",Vanilla
316,Cultivate,{2}{G},Sorcery,,Common,G,Search your library for two land cards and put them onto the battlefield.,The earth provides.,,"Ramp,Tutor",,,
317,"Elyas Machera, Wolfbrother",{2}{G},Legendary Creature — Human Wolfbrother,3/2,Uncommon,G,"When Elyas enters, create a 1/1 green Wolf creature token. Wolves you control have vigilance.",,,"Wolf,Token","Elyas Machera, Wolfbrother — Human Wolfbrother from the Wheel of Time","Painterly fantasy, dramatic light",Wolf
318,Endless Blessing,{1}{G}{G},Sorcery,,Rare,G,"Create four 1/1 green Wolf tokens. If you control five or more lands, put a +1/+1 counter on each.",The wild is endless.,,"Wolf,Token,Ramp,Synergy",,,
319,Endless Bounty,{2}{G},Sorcery,,Uncommon,G,"Create two 1/1 green Wolf tokens. For each land you control, put a +1/+1 counter on each of them.",The wild's gifts never cease.,,"Wolf,Token,Synergy,Ramp",,,
320,Endless Forest,{3}{G}{G},Enchantment,,Mythic,G,"Whenever you cast a green spell, create a 1/1 green Wolf token. Whenever a land enters, put a +1/+1 counter on each creature. Lands you control tap for an additional {G}.",The forest grows forever.,,"Ramp,Token,Wolf,Synergy",,,
321,Endless Growth,{2}{G}{G},Enchantment,,Rare,G,"Whenever you cast a green spell, create a 1/1 green Wolf creature token. Wolves you control get +1/+1.",Nature's abundance never ceases.,,"Synergy,Token,Ramp",,,
322,Endless Growth II,{1}{G},Enchantment,,Uncommon,G,"Whenever you cast a green spell, all green creatures get +1/+1 until end of turn. {G}{G}: Create a 1/1 green Wolf token.",Nature's power never ceases.,,"Synergy,Green,Token,Wolf",,,
323,Endless Wood,{1}{G},Enchantment,,Common,G,"Whenever a land enters under your control, create a 1/1 green Wolf token.",The forest expands endlessly.,,"Ramp,Token,Wolf",,,
324,Entangling Vines,{1}{G},Enchantment — Aura,,Common,G,Enchant creature. Enchanted creature can't attack or block.,,,Removal,Entangling Vines — Aura from the Wheel of Time,"Painterly fantasy, dramatic light",Removal
325,Flourish,{1}{G},Instant,,Common,G,"Target creature gets +0/+3 until end of turn. If you control a land, it also gains reach.",Nature provides.,,"Pump,Defense",,,
326,Forest Guardian,{1}{G},Creature — Treant,2/2,Common,G,"Whenever a land enters under your control, Forest Guardian gets +1/+1 until end of turn.",Guardians of the wild places.,,Ramp Synergy,"Ancient tree-like being, protective stance","Timeless, protective",Ramp/Green
327,Forest's Embrace,{2}{G},Sorcery,,Uncommon,G,Create two 1/1 green Wolf tokens. They get +1/+1 for each land you control.,The forest answers those who honor it.,,"Token,Wolf,Synergy",,,
328,Forest's Vigil,{2}{G}{G},Enchantment,,Uncommon,G,"Whenever a land enters under your control, you gain 1 life. {G}{G}: All creatures get +1/+2 until end of turn.",The forest watches eternal.,,"Ramp,Gain Life,Pump",,,
329,Great Horned Boar,{3}{G},Creature — Boar,4/3,Common,G,Trample.,,Trample,Vanilla,Great Horned Boar — Boar from the Wheel of Time,"Painterly fantasy, dramatic light",Vanilla
330,Green Ajah Growth,{2}{G},Enchantment,,Common,G,"Whenever you cast your first green spell each turn, create a 1/1 green Wolf creature token.",The Green Ajah's power multiplies.,,"Synergy,Token",,,
331,Green Ajah Harmony,{1}{G},Enchantment,,Uncommon,G,"Whenever a land enters under your control, all creatures get +1/+1 until end of turn. {G}{G}: Create a 1/1 green Token creature.",Nature brings harmony.,,"Synergy,Token,Ramp",,,
332,Green Ajah Strength,{2}{G},Enchantment,,Common,G,Other green creatures you control get +1/+1.,The natural world is strongest together.,,"Synergy,Pump",Green living aura strengthening all,"Vital, growing",Synergy/Green
333,Green Man's Sapling,{1}{G},Creature — Plant,0/3,Common,G,{T}: Add {G}.,,,Ramp,Green Man's Sapling — Plant from the Wheel of Time,"Painterly fantasy, dramatic light",Ramp
334,Growth from Adversity,{1}{G},Sorcery,,Common,G,"Create a 1/1 green Wolf creature token. Whenever that token is dealt damage, put a +1/+1 counter on it.",Struggle strengthens.,,"Token,Synergy",,,
335,Hardy Growth,{1}{G},Instant,,Common,G,Target creature gets +0/+2 until end of turn.,Desert teaches hardiness.,,Pump,Creature becoming more sturdy and resilient,"Defensive, natural",Pump/Green
336,"Hopper, Dream Wolf",{1}{G},Legendary Creature — Wolf Spirit,2/2,Uncommon,G,"When Hopper dies, put two +1/+1 counters on target Wolf or Wolfbrother you control.","Wolves do not fear death. They have run in the dream, and know the way back.",,Wolf,"Hopper, Dream Wolf — Wolf Spirit from the Wheel of Time","Painterly fantasy, dramatic light",Wolf
337,Hunt the Shadowspawn,{2}{G},Sorcery,,Common,G,"Target creature you control gets +1/+1 until end of turn, then it fights target creature an opponent controls.",,,Removal,Hunt the Shadowspawn — Sorcery from the Wheel of Time,"Painterly fantasy, dramatic light",Removal
338,Infinite Bounty,{1}{G},Enchantment,,Rare,G,"Whenever a land enters under your control, create a 1/1 green Wolf token. These tokens get +1/+1 for each land you control.",The wild never rests.,,"Ramp,Token,Wolf,Synergy",,,
339,"Loial, Son of Arent Son of Halan",{2}{G}{G},Legendary Creature — Ogier Scholar,3/6,Rare,G,"Reach, vigilance. When Loial enters, draw a card. Other Ogier you control get +0/+2.",'Hasty' is not a word ever fairly applied to an Ogier — except this one.,"Reach, Vigilance","Ogier,Draw","Loial, Son of Arent Son of Halan — Ogier Scholar from the Wheel of Time","Painterly fantasy, dramatic light",Ogier
